Table Name,Field Name,Description (English),Required,Example Value,Notes,,,
website_credentials,website_id,Website ID,Yes,,Foreign Key to websites,,,
website_credentials,credential_type,Credential Type,Yes,"admin, ftp, database, api, ssh, other",,,,
website_credentials,username,Username,No,admin,,,,
website_credentials,password_encrypted,Encrypted Password,No,,Encrypted,,,
website_credentials,access_url,Access URL,No,https://example.com/wp-admin,,,,
website_credentials,additional_info,Additional Information,No,,JSON format,,,
website_credentials,notes,Notes,No,,,,,
website_credentials,created_at,Creation Date,Yes,,,,,
website_credentials,updated_at,Last Update Date,Yes,,,,,
website_costs,id,Cost ID,Yes,1,Primary Key,,,
website_costs,website_id,Website ID,Yes,,Foreign Key to websites,,,
website_costs,cost_amount,Cost Amount,Yes,,99,,,
website_costs,currency,Currency,Yes,USD,,,,
website_costs,billing_cycle,Billing Cycle,Yes,"monthly, yearly, 2years, 3years, 5years, one_time",,,,
website_costs,cost_type,Cost Type,Yes,"hosting, maintenance, license, plugin, theme, other",,,,
website_costs,start_date,Start Date,No,1/1/2024,,,,
website_costs,next_billing_date,Next Billing Date,No,2/1/2024,,,,
website_costs,auto_renew,Auto Renew,Yes,TRUE,,,,
website_costs,notes,Notes,No,,,,,
website_costs,created_at,Creation Date,Yes,,,,,
website_costs,updated_at,Last Update Date,Yes,,,,,
cloudflare_accounts,id,Cloudflare Account ID,Yes,1,Primary Key,,,
cloudflare_accounts,account_name,Account Name,Yes,Main Cloudflare Account,,,,
cloudflare_accounts,account_email,Account Email,Yes,admin@example.com,,,,
cloudflare_accounts,account_id,Account ID,No,CF123456,,,,
cloudflare_accounts,api_key_encrypted,Encrypted API Key,No,,Encrypted,,,
cloudflare_accounts,api_token_encrypted,Encrypted API Token,No,,Encrypted,,,
cloudflare_accounts,status,Account Status,Yes,"active, inactive, suspended",,,,
cloudflare_accounts,notes,Notes,No,,,,,
cloudflare_accounts,created_at,Creation Date,Yes,,,,,
cloudflare_accounts,updated_at,Last Update Date,Yes,,,,,
cloudflare_domains,id,Link ID,Yes,1,Primary Key,,,
cloudflare_domains,domain_id,Domain ID,Yes,,Foreign Key to domains,,,
cloudflare_domains,cloudflare_account_id,Cloudflare Account ID,Yes,,Foreign Key to cloudflare_accounts,,,
cloudflare_domains,zone_id,Zone ID,No,abc123def456,,,,
cloudflare_domains,nameservers,Nameservers,No,"ns1.cloudflare.com, ns2.cloudflare.com",,,,
cloudflare_domains,ssl_mode,SSL Mode,Yes,"off, flexible, full, strict",,,,
cloudflare_domains,cache_level,Cache Level,Yes,"aggressive, basic, simplified",,,,
cloudflare_domains,security_level,Security Level,Yes,"off, essentially_off, low, medium, high, under_attack",,,,
cloudflare_domains,is_active,Active Status,Yes,TRUE,,,,
cloudflare_domains,activated_at,Activation Date,Yes,,,,,
cloudflare_domains,created_at,Creation Date,Yes,,,,,
cloudflare_domains,updated_at,Last Update Date,Yes,,,,,
google_ads_accounts,id,Google Ads Account ID,Yes,1,Primary Key,,,
google_ads_accounts,account_name,Account Name,Yes,Main Ads Account,,,,
google_ads_accounts,account_email,Account Email,Yes,ads@example.com,,,,
google_ads_accounts,customer_id,Customer ID,No,123-456-7890,,,,
google_ads_accounts,api_credentials,API Credentials,No,,JSON format,,,
google_ads_accounts,status,Account Status,Yes,"active, inactive, suspended",,,,
google_ads_accounts,notes,Notes,No,,,,,
google_ads_accounts,created_at,Creation Date,Yes,,,,,
google_ads_accounts,updated_at,Last Update Date,Yes,,,,,
google_ads_campaigns,id,Campaign ID,Yes,1,Primary Key,,,
google_ads_campaigns,google_ads_account_id,Google Ads Account ID,Yes,,Foreign Key to google_ads_accounts,,,
google_ads_campaigns,website_id,Website ID,No,,Foreign Key to websites,,,
google_ads_campaigns,domain_id,Domain ID,No,,Foreign Key to domains,,,
google_ads_campaigns,campaign_name,Campaign Name,Yes,Summer Sale 2024,,,,
google_ads_campaigns,campaign_id,Campaign ID,No,12345678,,,,
google_ads_campaigns,campaign_type,Campaign Type,Yes,"search, display, video, shopping, app, smart, performance_max",,,,
google_ads_campaigns,budget_amount,Budget Amount,Budget Amount,,1000,,,
google_ads_campaigns,currency,Currency,Yes,USD,,,,
google_ads_campaigns,status,Campaign Status,Yes,"enabled, paused, removed",,,,
google_ads_campaigns,start_date,Start Date,No,1/1/2024,,,,
google_ads_campaigns,end_date,End Date,No,12/31/2024,,,,
google_ads_campaigns,notes,Notes,No,,,,,
google_ads_campaigns,created_at,Creation Date,Yes,,,,,
google_ads_campaigns,updated_at,Last Update Date,Yes,,,,,
google_search_console_accounts,id,GSC Account ID,Yes,1,Primary Key,,,
google_search_console_accounts,account_name,Account Name,Yes,Main GSC Account,,,,
google_search_console_accounts,account_email,Account Email,Yes,gsc@example.com,,,,
google_search_console_accounts,api_credentials,API Credentials,No,,JSON format,,,
google_search_console_accounts,status,Account Status,Yes,"active, inactive",,,,
google_search_console_accounts,notes,Notes,No,,,,,
google_search_console_accounts,created_at,Creation Date,Yes,,,,,
google_search_console_accounts,updated_at,Last Update Date,Yes,,,,,
google_search_console_properties,id,Property ID,Yes,1,Primary Key,,,
google_search_console_properties,gsc_account_id,GSC Account ID,Yes,,Foreign Key to google_search_console_accounts,,,
google_search_console_properties,website_id,Website ID,No,,Foreign Key to websites,,,
google_search_console_properties,domain_id,Domain ID,No,,Foreign Key to domains,,,
google_search_console_properties,property_url,Property URL,Yes,https://example.com,,,,
google_search_console_properties,property_type,Property Type,Yes,"domain, url_prefix",,,,
google_search_console_properties,verification_method,Verification Method,Yes,"html_file, html_tag, google_analytics, google_tag_manager, dns",,,,
google_search_console_properties,is_verified,Verification Status,Yes,FALSE,,,,
google_search_console_properties,verified_at,Verification Date,No,,,,,
google_search_console_properties,created_at,Creation Date,Yes,,,,,
google_search_console_properties,updated_at,Last Update Date,Yes,,,,,
google_tag_manager_accounts,id,GTM Account ID,Yes,1,Primary Key,,,
google_tag_manager_accounts,account_name,Account Name,Yes,Main GTM Account,,,,
google_tag_manager_accounts,account_email,Account Email,Yes,gtm@example.com,,,,
google_tag_manager_accounts,account_id,Account ID,No,GTM-123456,,,,
google_tag_manager_accounts,api_credentials,API Credentials,No,,JSON format,,,
google_tag_manager_accounts,status,Account Status,Yes,"active, inactive",,,,
google_tag_manager_accounts,notes,Notes,No,,,,,
google_tag_manager_accounts,created_at,Creation Date,Yes,,,,,
google_tag_manager_accounts,updated_at,Last Update Date,Yes,,,,,
google_tag_manager_containers,id,Container ID,Yes,1,Primary Key,,,
google_tag_manager_containers,gtm_account_id,GTM Account ID,Yes,,Foreign Key to google_tag_manager_accounts,,,
google_tag_manager_containers,website_id,Website ID,No,,Foreign Key to websites,,,
google_tag_manager_containers,container_name,Container Name,Yes,Website Container,,,,
google_tag_manager_containers,container_id,Container ID,No,12345678,,,,
google_tag_manager_containers,container_public_id,Container Public ID,No,GTM-XXXXXX,,,,
google_tag_manager_containers,container_type,Container Type,Yes,"web, amp, android, ios, server",,,,
google_tag_manager_containers,tags_count,Tags Count,Yes,5,,,,
google_tag_manager_containers,triggers_count,Triggers Count,Yes,3,,,,
google_tag_manager_containers,variables_count,Variables Count,Yes,10,,,,
google_tag_manager_containers,is_active,Active Status,Yes,TRUE,,,,
google_tag_manager_containers,created_at,Creation Date,Yes,,,,,
google_tag_manager_containers,updated_at,Last Update Date,Yes,,,,,
google_analytics_accounts,id,GA Account ID,Yes,1,Primary Key,,,
google_analytics_accounts,account_name,Account Name,Yes,Main Analytics Account,,,,
google_analytics_accounts,account_email,Account Email,Yes,analytics@example.com,,,,
google_analytics_accounts,account_id,Account ID,No,12345678,,,,
google_analytics_accounts,property_id,Property ID,No,UA-12345678-1,,,,
google_analytics_accounts,measurement_id,Measurement ID,No,G-XXXXXXXXXX,,,,
google_analytics_accounts,api_credentials,API Credentials,No,,JSON format,,,
google_analytics_accounts,analytics_version,Analytics Version,Yes,"ua, ga4",,,,
google_analytics_accounts,status,Account Status,Yes,"active, inactive",,,,
google_analytics_accounts,notes,Notes,No,,,,,
google_analytics_accounts,created_at,Creation Date,Yes,,,,,
google_analytics_accounts,updated_at,Last Update Date,Yes,,,,,
repositories,id,Repository ID,Yes,1,Primary Key,,,
repositories,website_id,Website ID,No,,Foreign Key to websites,,,
repositories,repository_type,Repository Type,Yes,"github, gitlab, bitbucket, other",,,,
repositories,repository_url,Repository URL,Yes,https://github.com/user/repo,,,,
repositories,repository_name,Repository Name,No,my-project,,,,
repositories,branch_name,Branch Name,Yes,main,,,,
repositories,access_token_encrypted,Encrypted Access Token,No,,Encrypted,,,
repositories,is_private,Is Private,Yes,TRUE,,,,
repositories,last_commit_hash,Last Commit Hash,No,abc123def456,,,,
repositories,last_commit_date,Last Commit Date,No,,,,,
repositories,notes,Notes,No,,,,,
repositories,created_at,Creation Date,Yes,,,,,
repositories,updated_at,Last Update Date,Yes,,,,,
user_permissions,id,Permission ID,Yes,1,Primary Key,,,
user_permissions,user_id,User ID,Yes,,Foreign Key to users,,,
user_permissions,entity_type,Entity Type,Yes,"domain, website, server, client, all",,,,
user_permissions,entity_id,Entity ID,No,,NULL for 'all' type,,,
user_permissions,permission_level,Permission Level,Yes,"view, edit, admin, owner",,,,
user_permissions,granted_at,Grant Date,Yes,,,,,
user_permissions,granted_by,Granted By User ID,No,,Foreign Key to users,,,
notifications,id,Notification ID,Yes,1,Primary Key,,,
notifications,notification_type,Notification Type,Yes,"domain_expiry, ssl_expiry, server_billing, website_billing, backup_failed, server_down, resource_limit, security_alert, other",,,,
notifications,entity_type,Entity Type,Yes,"domain, website, server, ssl, backup, other",,,,
notifications,entity_id,Entity ID,No,,,,,
notifications,title,Notification Title,Yes,Domain Expiring Soon,,,,
notifications,message,Notification Message,No,Your domain will expire in 30 days,,,,
notifications,severity,Severity Level,Yes,"info, warning, critical",,,,
notifications,is_read,Read Status,Yes,FALSE,,,,
notifications,sent_to_user_id,Recipient User ID,No,,Foreign Key to users,,,
notifications,sent_via,Sent Via,Yes,"in_app, email, sms, all",,,,
notifications,created_at,Creation Date,Yes,,,,,
notifications,read_at,Read Date,No,,,,,
notification_settings,id,Setting ID,Yes,1,Primary Key,,,
notification_settings,user_id,User ID,Yes,,Foreign Key to users,,,
notification_settings,notification_type,Notification Type,Yes,"domain_expiry, ssl_expiry, server_billing, website_billing, backup_failed, server_down, resource_limit, security_alert, other",,,,
notification_settings,days_before,Days Before Event,Yes,30,,,,
notification_settings,notify_via_email,Notify Via Email,Yes,TRUE,,,,
notification_settings,notify_via_sms,Notify Via SMS,Yes,FALSE,,,,
notification_settings,notify_in_app,Notify In App,Yes,TRUE,,,,
notification_settings,is_enabled,Enabled Status,Yes,TRUE,,,,
activity_logs,id,Log ID,Yes,1,Primary Key,,,
activity_logs,user_id,User ID,No,,Foreign Key to users,,,
activity_logs,action_type,Action Type,Yes,"create, update, delete, login, logout, view, export, import",,,,
activity_logs,entity_type,Entity Type,Yes,"domain, website, server, client, user, backup, ssl, service, other",,,,
activity_logs,entity_id,Entity ID,No,,,,,
activity_logs,entity_name,Entity Name,No,example.com,,,,
activity_logs,description,Action Description,No,Updated domain settings,,,,
activity_logs,old_values,Old Values,No,,JSON format,,,
activity_logs,new_values,New Values,No,,JSON format,,,
activity_logs,ip_address,IP Address,No,192.168.1.1,,,,
activity_logs,user_agent,User Agent,No,Mozilla/5.0...,,,,
activity_logs,created_at,Action Date,Yes,,,,,
tags,id,Tag ID,Yes,1,Primary Key,,,
tags,tag_name,Tag Name,Yes,Production,Unique,,,
tags,tag_color,Tag Color,No,#FF5733,Hex color code,,,
tags,description,Tag Description,No,Production websites,,,,
tags,created_at,Creation Date,Yes,,,,,
entity_tags,id,Link ID,Yes,1,Primary Key,,,
entity_tags,tag_id,Tag ID,Yes,,Foreign Key to tags,,,
entity_tags,entity_type,Entity Type,Yes,"domain, website, server, client, project",,,,
entity_tags,entity_id,Entity ID,Yes,,,,,
entity_tags,created_at,Creation Date,Yes,,,,,
documents,id,Document ID,Yes,1,Primary Key,,,
documents,entity_type,Entity Type,Yes,"domain, website, server, client, invoice, other",,,,
documents,entity_id,Entity ID,Yes,,,,,
documents,document_type,Document Type,Yes,"contract, invoice, receipt, certificate, backup, report, other",,,,
documents,file_name,File Name,Yes,contract_2024.pdf,,,,
documents,file_path,File Path,Yes,/documents/contracts/contract_2024.pdf,,,,
documents,file_size_kb,File Size in KB,No,,1024.5,,,
documents,mime_type,MIME Type,No,application/pdf,,,,
documents,uploaded_by,Uploaded By User ID,No,,Foreign Key to users,,,
documents,description,Document Description,No,,,,,
documents,created_at,Upload Date,Yes,,,,,
maintenance_schedules,id,Schedule ID,Yes,1,Primary Key,,,
maintenance_schedules,entity_type,Entity Type,Yes,"website, server, domain",,,,
maintenance_schedules,entity_id,Entity ID,Yes,,,,,
maintenance_schedules,maintenance_type,Maintenance Type,Yes,"update, backup, security_scan, performance_check, other",,,,
maintenance_schedules,schedule_frequency,Schedule Frequency,Yes,"daily, weekly, monthly, quarterly, yearly, custom",,,,
maintenance_schedules,schedule_time,Schedule Time,No,2:00:00,,,,
maintenance_schedules,schedule_day_of_week,Day of Week,No,1,1=Monday to 7=Sunday,,,
maintenance_schedules,schedule_day_of_month,Day of Month,No,15,31-Jan,,,
maintenance_schedules,last_run_date,Last Run Date,No,,,,,
maintenance_schedules,next_run_date,Next Run Date,No,,,,,
maintenance_schedules,is_active,Active Status,Yes,TRUE,,,,
maintenance_schedules,notes,Notes,No,,,,,
maintenance_schedules,created_at,Creation Date,Yes,,,,,
maintenance_schedules,updated_at,Last Update Date,Yes,,,,,
maintenance_logs,id,Log ID,Yes,1,Primary Key,,,
maintenance_logs,schedule_id,Schedule ID,No,,Foreign Key to maintenance_schedules,,,
maintenance_logs,entity_type,Entity Type,Yes,"website, server, domain",,,,
maintenance_logs,entity_id,Entity ID,Yes,,,,,
maintenance_logs,maintenance_type,Maintenance Type,Yes,"update, backup, security_scan, performance_check, other",,,,
maintenance_logs,status,Execution Status,Yes,"success, failed, partial, skipped",,,,
maintenance_logs,performed_by,Performed By User ID,No,,Foreign Key to users,,,
maintenance_logs,start_time,Start Time,No,,,,,
maintenance_logs,end_time,End Time,No,,,,,
maintenance_logs,duration_minutes,Duration in Minutes,No,15,,,,
maintenance_logs,details,Execution Details,No,,,,,
maintenance_logs,error_message,Error Message,No,,,,,
maintenance_logs,created_at,Execution Date,Yes,,,,,
security_incidents,id,Incident ID,Yes,1,Primary Key,,,
security_incidents,entity_type,Entity Type,Yes,"website, server, domain",,,,
security_incidents,entity_id,Entity ID,Yes,,,,,
security_incidents,incident_type,Incident Type,Yes,"malware, hack, ddos, data_breach, unauthorized_access, other",,,,
security_incidents,severity,Severity Level,Yes,"low, medium, high, critical",,,,
security_incidents,status,Incident Status,Yes,"open, investigating, resolved, closed",,,,
security_incidents,detected_at,Detection Date,Yes,,,,,
security_incidents,resolved_at,Resolution Date,No,,,,,
security_incidents,description,Incident Description,No,,,,,
security_incidents,actions_taken,Actions Taken,No,,,,,
security_incidents,reported_by,Reported By User ID,No,,Foreign Key to users,,,
security_incidents,assigned_to,Assigned To User ID,No,,Foreign Key to users,,,
security_incidents,created_at,Creation Date,Yes,,,,,
security_incidents,updated_at,Last Update Date,Yes,,,,,
uptime_checks,id,Check ID,Yes,1,Primary Key,,,
uptime_checks,website_id,Website ID,Yes,,Foreign Key to websites,,,
uptime_checks,check_url,Check URL,Yes,https://example.com,,,,
uptime_checks,check_interval_minutes,Check Interval in Minutes,Yes,5,,,,
uptime_checks,timeout_seconds,Timeout in Seconds,Yes,30,,,,
uptime_checks,expected_status_code,Expected Status Code,Yes,200,,,,
uptime_checks,is_active,Active Status,Yes,TRUE,,,,
uptime_checks,last_check_at,Last Check Date,No,,,,,
uptime_checks,last_status,Last Status,No,"up, down, degraded",,,,
uptime_checks,created_at,Creation Date,Yes,,,,,
uptime_checks,updated_at,Last Update Date,Yes,,,,,
uptime_logs,id,Log ID,Yes,1,Primary Key,,,
uptime_logs,uptime_check_id,Uptime Check ID,Yes,,Foreign Key to uptime_checks,,,
uptime_logs,status,Website Status,Yes,"up, down, degraded",,,,
uptime_logs,response_time_ms,Response Time in MS,No,250,,,,
uptime_logs,status_code,HTTP Status Code,No,200,,,,
uptime_logs,error_message,Error Message,No,,,,,
uptime_logs,checked_at,Check Date,Yes,,,,,
api_keys,id,API Key ID,Yes,1,Primary Key,,,
api_keys,user_id,User ID,Yes,,Foreign Key to users,,,
api_keys,key_name,Key Name,Yes,Production API Key,,,,
api_keys,api_key,API Key,Yes,sk_live_abc123...,Unique,,,
api_keys,permissions,Permissions,No,,JSON format,,,
api_keys,is_active,Active Status,Yes,TRUE,,,,
api_keys,last_used_at,Last Used Date,No,,,,,
api_keys,expires_at,Expiry Date,No,,,,,
api_keys,created_at,Creation Date,Yes,,,,,
system_settings,id,Setting ID,Yes,1,Primary Key,,,
system_settings,setting_key,Setting Key,Yes,app_name,Unique,,,
system_settings,setting_value,Setting Value,No,Domain Manager Pro,,,,
system_settings,setting_type,Setting Type,Yes,"string, number, boolean, json",,,,
system_settings,description,Setting Description,No,Application name,,,,
system_settings,is_public,Is Public,Yes,FALSE,,,,
system_settings,updated_by,Updated By User ID,No,,Foreign Key to users,,,
system_settings,created_at,Creation Date,Yes,,,,,
system_settings,updated_at,Last Update Date,Yes,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
